drill,hole,score,prediction,label
drill_4mm_05,21,0.03268235921859741,0,1
drill_4mm_06,1,0.01633758470416069,0,0
drill_4mm_06,2,0.007108318153768778,0,0
drill_4mm_06,3,0.0037382016889750957,0,0
drill_4mm_06,4,0.010255646891891956,0,0
drill_4mm_06,5,0.12987029552459717,0,0
drill_4mm_06,6,0.1932501643896103,1,0
drill_4mm_06,7,0.15529727935791016,1,0
drill_4mm_06,8,0.19343028962612152,1,0
drill_4mm_06,9,0.24226881563663483,1,0
drill_4mm_06,10,0.3349674940109253,1,0
drill_4mm_06,11,0.3301093578338623,1,0
drill_4mm_06,12,0.08240078389644623,0,0
drill_4mm_06,13,0.4090222418308258,0,0
drill_4mm_06,14,0.2919679284095764,1,0
drill_4mm_06,15,0.3796994686126709,1,0
drill_4mm_06,16,0.5511419177055359,1,0
drill_4mm_06,17,0.8745861649513245,1,0
drill_4mm_06,18,0.621688961982727,1,0
drill_4mm_06,19,0.8723809719085693,1,0
drill_4mm_06,20,0.8546682596206665,1,0
drill_4mm_06,21,0.9617931842803955,1,0
drill_4mm_06,22,0.8722429275512695,1,0
drill_4mm_06,23,0.8867620825767517,1,0
drill_4mm_06,24,0.6226313710212708,1,0
drill_4mm_06,25,0.4532034993171692,1,0
drill_4mm_06,26,0.9544870853424072,1,0
drill_4mm_06,27,0.9706356525421143,1,0
drill_4mm_06,28,0.9275733828544617,1,0
drill_4mm_06,29,0.9553125500679016,1,0
drill_4mm_06,30,0.9535745978355408,1,0
drill_4mm_06,31,0.7701056003570557,1,0
drill_4mm_06,32,0.8518166542053223,1,0
drill_4mm_06,33,0.49487006664276123,1,0
drill_4mm_06,34,0.6515108346939087,1,0
drill_4mm_06,35,0.22267937660217285,1,0
drill_4mm_06,36,0.7003715634346008,1,0
drill_4mm_06,37,0.8197808265686035,1,0
drill_4mm_06,38,0.8656889200210571,1,0
drill_4mm_06,39,0.9214164018630981,1,0
drill_4mm_06,40,0.9394143223762512,1,0
drill_4mm_06,41,0.9028664231300354,1,0
drill_4mm_06,42,0.39621493220329285,1,1
drill_4mm_06,43,0.39371904730796814,1,1
drill_4mm_06,44,0.9345586895942688,1,1
drill_4mm_06,45,0.7327383756637573,1,1
drill_4mm_06,46,0.6672481894493103,1,1
drill_4mm_06,47,0.9076224565505981,1,1
drill_4mm_06,48,0.7583785057067871,1,1
drill_4mm_06,49,0.7130131125450134,1,1
drill_4mm_06,50,0.9886947274208069,1,1
drill_4mm_06,51,0.9655270576477051,1,1
drill_4mm_07,1,0.014677261933684349,0,0
drill_4mm_07,2,0.7430338859558105,0,0
drill_4mm_07,3,0.05747088044881821,0,0
drill_4mm_07,4,0.00976620800793171,0,0
drill_4mm_07,5,0.021121086552739143,0,0
drill_4mm_07,6,0.05696249008178711,0,0
drill_4mm_07,7,0.0769059956073761,0,0
drill_4mm_07,8,0.3793100118637085,0,0
drill_4mm_07,9,0.9266048073768616,0,0
drill_4mm_07,10,0.4653184711933136,0,0
drill_4mm_07,11,0.08273860812187195,0,0
drill_4mm_07,12,0.280661940574646,0,0
drill_4mm_07,13,0.16535557806491852,0,0
drill_4mm_07,14,0.844257652759552,0,0
drill_4mm_07,15,0.9617555737495422,1,0
drill_4mm_07,16,0.17481069266796112,0,0
drill_4mm_07,17,0.6273106932640076,0,0
drill_4mm_07,18,0.5099862217903137,0,0
drill_4mm_07,19,0.7025836110115051,0,0
drill_4mm_07,20,0.3407365381717682,0,0
drill_4mm_07,21,0.24750307202339172,0,0
drill_4mm_07,22,0.4273407459259033,0,0
drill_4mm_07,23,0.5948854088783264,0,0
drill_4mm_07,24,0.45631757378578186,0,0
drill_4mm_07,25,0.13502588868141174,0,0
drill_4mm_07,26,0.3215239346027374,0,0
drill_4mm_07,27,0.24799099564552307,0,0
drill_4mm_07,28,0.062110260128974915,0,0
drill_4mm_07,29,0.08067642152309418,0,0
drill_4mm_07,30,0.35045933723449707,0,0
drill_4mm_07,31,0.4648900330066681,0,0
drill_4mm_07,32,0.4103933274745941,0,0
drill_4mm_07,33,0.40490156412124634,0,0
drill_4mm_07,34,0.30836915969848633,0,0
drill_4mm_07,35,0.16061073541641235,0,0
drill_4mm_07,36,0.014960241504013538,0,0
drill_4mm_07,37,0.14386340975761414,0,0
drill_4mm_07,38,0.6970337629318237,0,0
drill_4mm_07,39,0.6007373929023743,0,0
drill_4mm_07,40,0.21654364466667175,0,0
drill_4mm_07,41,0.21019692718982697,0,0
