drill,hole,score,label,threshold,prediction,drill_lead_time
drill_4mm_08_batch_00_collet_1_31-01-2025,18,0.0135497665,1,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,19,0.88068813,1,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,20,0.014618363,1,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,21,0.007397767,1,0.1,0,0
drill_4mm_09_batch_00_collet_1_31-01-2025,1,0.03402548,0,0.1,0,43
drill_4mm_09_batch_00_collet_1_31-01-2025,2,0.0068673673,0,0.1,0,43
drill_4mm_09_batch_00_collet_1_31-01-2025,3,0.0057183243,0,0.1,0,43
drill_4mm_09_batch_00_collet_1_31-01-2025,4,0.0043554497,0,0.1,0,43
drill_4mm_09_batch_00_collet_1_31-01-2025,5,0.040244278,0,0.1,0,43
drill_4mm_09_batch_00_collet_1_31-01-2025,6,0.015786776,0,0.1,0,43
drill_4mm_09_batch_00_collet_1_31-01-2025,7,0.13356914,0,0.1,0,43
drill_4mm_09_batch_00_collet_1_31-01-2025,8,0.11858865,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,9,0.35767624,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,10,0.56293637,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,11,0.57958436,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,12,0.23863634,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,13,0.315348,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,14,0.021971691,0,0.1,0,43
drill_4mm_09_batch_00_collet_1_31-01-2025,15,0.3377288,0,0.1,0,43
drill_4mm_09_batch_00_collet_1_31-01-2025,16,0.4426592,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,17,0.6738177,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,18,0.33192214,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,19,0.7504274,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,20,0.81907845,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,21,0.75221246,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,22,0.7789931,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,23,0.6285202,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,24,0.7616456,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,25,0.42043984,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,26,0.93479884,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,27,0.9388307,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,28,0.87295955,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,29,0.9292411,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,30,0.83844,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,31,0.93411225,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,32,0.7860699,0,0.1,1,43
drill_4mm_09_batch_00_collet_1_31-01-2025,33,0.41754153,0,0.1,1,43
